questionTimestamp,questionEventType,questionText,questionAnswer,questionPosition,questionID,eventSource,Timestamp,validLeft,validRight,leftPupilValidity,rightPupilValidity,leftPupilDiameter,rightPupilDiameter,snapshotId,currentQuestion,clickTimestamp,clickedElement,leftX,leftY,rightX,rightY,x,y,leftDistance,rightDistance,tabName,element
,,,,,,eye-tracker,2863008.539,1,1,1,1,2.1832,2.2607,0,1,,,534.9315,38.0677,546.6963,22.9434,540.8139,30.5056,65.6914,65.5102,cca_main.bpmn,
,,,,,,eye-tracker,2863016.873,1,1,0,0,,,0,1,,,535.8311,27.9679,549.3435,25.2086,542.5873,26.5883,65.6442,65.5069,cca_main.bpmn,
,,,,,,eye-tracker,2863025.209,1,1,0,0,,,0,1,,,547.3971,27.6856,549.3443,25.2079,548.3707,26.4467,65.5947,65.51,cca_main.bpmn,
,,,,,,eye-tracker,2863033.536,1,1,1,1,2.1432,2.247,0,1,,,535.8451,42.9617,540.5303,20.3875,538.1877,31.6746,65.5403,65.5166,cca_main.bpmn,
,,,,,,eye-tracker,2863041.868,1,1,0,0,,,0,1,,,504.9798,47.9293,518.95,26.3648,511.9649,37.147,65.4719,65.5161,cca_main.bpmn,
,,,,,,eye-tracker,2863050.267,0,0,0,0,,,0,1,,,,,,,,,,,,
,,,,,,eye-tracker,2863058.536,1,1,1,1,2.103,2.2675,0,1,,,431.4046,74.1004,506.5718,33.0051,468.9882,53.5528,65.3748,65.5298,cca_main.bpmn,title-for-questionID_1
,,,,,,eye-tracker,2863066.868,1,1,0,0,,,0,1,,,312.6244,107.4432,336.4721,98.4905,324.5482,102.9668,65.0965,65.5252,cca_main.bpmn,
,,,,,,eye-tracker,2863075.309,1,1,0,0,,,0,1,,,123.8755,188.5373,184.2004,176.8912,154.0379,182.7143,64.9839,65.5218,cca_main.bpmn,tab-header-tab-link-to_cca_main.bpmn
,,,,,,eye-tracker,2863083.531,1,1,1,1,2.1738,2.2605,0,1,,,103.6344,225.4638,133.6703,206.604,118.6523,216.0339,64.9164,65.5148,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863091.907,1,1,0,0,,,0,1,,,103.5883,225.462,112.936,223.2915,108.2622,224.3767,64.8086,65.4898,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863100.199,1,1,0,0,,,0,1,,,97.6778,222.9276,103.5415,215.2741,100.6097,219.1009,64.7282,65.4626,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863108.553,1,1,1,1,2.0806,2.2393,0,1,,,72.1209,231.2486,100.6632,214.1821,86.392,222.7153,64.661,65.3724,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863116.861,1,1,0,0,,,0,1,,,71.6761,231.2084,102.0746,216.1078,86.8754,223.6581,64.5721,65.2762,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863125.198,1,1,0,0,,,0,1,,,79.1265,249.2756,99.5809,228.3747,89.3537,238.8251,64.3782,65.2109,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863133.525,1,1,1,1,2.0838,2.2246,0,1,,,120.0221,269.7748,100.7493,232.6522,110.3857,251.2135,64.0389,65.0177,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863141.862,1,1,0,0,,,0,1,,,109.364,268.8534,108.0395,243.9392,108.7017,256.3963,63.6282,64.6421,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863150.208,1,1,0,0,,,0,1,,,114.2629,273.958,114.361,252.07,114.312,263.014,63.2561,64.2702,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863158.525,0,1,0,1,,2.186,0,1,,,,,118.3237,261.0284,118.3237,261.0284,,64.0639,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863166.855,1,1,0,0,,,0,1,,,115.8503,284.5755,127.3394,269.0198,121.5949,276.7976,62.9046,63.9469,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863175.189,0,1,0,0,,,0,1,,,,,131.9785,270.097,131.9785,270.097,,63.8764,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863183.52,0,1,0,1,,2.1771,0,1,,,,,136.8853,271.4662,136.8853,271.4662,,63.8215,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863191.853,0,1,0,0,,,0,1,,,,,134.914,276.0623,134.914,276.0623,,63.814,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863200.186,1,1,0,0,,,0,1,,,114.4368,305.7218,131.1579,276.3535,122.7974,291.0376,62.7974,63.8133,cca_main.bpmn,file-explorer-file_cca_2_createcustomer.bpmn
,,,,,,eye-tracker,2863208.539,0,1,0,1,,2.1808,0,1,,,,,130.2655,275.7045,130.2655,275.7045,,63.8126,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863216.872,0,1,0,0,,,0,1,,,,,127.915,272.6176,127.915,272.6176,,63.8034,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863225.218,0,1,0,0,,,0,1,,,,,139.8944,279.2573,139.8944,279.2573,,63.802,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863233.544,0,1,0,1,,2.1754,0,1,,,,,139.0407,280.1777,139.0407,280.1777,,63.7993,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863241.86,0,1,0,0,,,0,1,,,,,140.9826,279.9179,140.9826,279.9179,,63.7883,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863250.238,0,1,0,0,,,0,1,,,,,136.3858,270.2262,136.3858,270.2262,,63.7794,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863258.518,0,1,0,1,,2.2016,0,1,,,,,137.5893,269.6999,137.5893,269.6999,,63.7712,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863266.842,0,1,0,0,,,0,1,,,,,137.6694,269.4779,137.6694,269.4779,,63.7505,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863275.18,0,1,0,0,,,0,1,,,,,128.0288,262.752,128.0288,262.752,,63.7347,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863283.53,0,1,0,1,,2.248,0,1,,,,,129.2928,266.4526,129.2928,266.4526,,63.7167,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863291.862,0,1,0,0,,,0,1,,,,,131.6472,265.1065,131.6472,265.1065,,63.6878,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863300.213,0,1,0,0,,,0,1,,,,,140.1639,271.5494,140.1639,271.5494,,63.6509,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863308.534,0,1,0,1,,2.2152,0,1,,,,,140.1272,271.8963,140.1272,271.8963,,63.6218,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863316.854,0,1,0,0,,,0,1,,,,,129.7687,271.9483,129.7687,271.9483,,63.5877,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863325.226,0,1,0,0,,,0,1,,,,,135.4432,269.9267,135.4432,269.9267,,63.5643,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863333.538,0,1,0,1,,2.2468,0,1,,,,,128.3196,254.9639,128.3196,254.9639,,63.5446,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863341.868,0,1,0,0,,,0,1,,,,,113.1708,226.3915,113.1708,226.3915,,63.5175,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863350.171,0,1,0,0,,,0,1,,,,,113.1708,226.3915,113.1708,226.3915,,63.4995,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863358.528,0,1,0,1,,2.2322,0,1,,,,,119.019,232.1685,119.019,232.1685,,63.4915,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863366.859,0,1,0,0,,,0,1,,,,,120.4429,234.2919,120.4429,234.2919,,63.4749,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863375.198,0,1,0,0,,,0,1,,,,,120.4999,234.2939,120.4999,234.2939,,63.4659,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863383.574,0,1,0,1,,2.2175,0,1,,,,,109.4136,227.1892,109.4136,227.1892,,63.4578,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863391.843,0,1,0,0,,,0,1,,,,,105.2268,221.2532,105.2268,221.2532,,63.4377,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863400.232,0,1,0,0,,,0,1,,,,,105.207,221.2699,105.207,221.2699,,63.4204,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863408.495,0,1,0,1,,2.2446,0,1,,,,,107.6067,224.5491,107.6067,224.5491,,63.3983,cca_main.bpmn,file-explorer-area
,,,,,,eye-tracker,2863416.867,1,1,0,0,,,0,1,,,82.7647,255.7126,102.0509,229.0943,92.4078,242.4035,62.8245,63.3579,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863425.254,0,1,0,0,,,0,1,,,,,102.0509,229.0943,102.0509,229.0943,,63.3181,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863433.595,0,1,0,1,,2.2398,0,1,,,,,108.5031,228.423,108.5031,228.423,,63.2746,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863441.868,0,1,0,0,,,0,1,,,,,116.0004,229.5139,116.0004,229.5139,,63.2175,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863450.199,0,1,0,0,,,0,1,,,,,115.9358,229.5736,115.9358,229.5736,,63.165,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863458.49,0,1,0,1,,2.2483,0,1,,,,,115.9085,233.1809,115.9085,233.1809,,63.1126,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863466.82,0,1,0,0,,,0,1,,,,,120.515,229.8801,120.515,229.8801,,63.0524,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863475.154,0,1,0,0,,,0,1,,,,,120.5723,229.7486,120.5723,229.7486,,63.0015,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863483.487,1,1,1,1,2.0975,2.2005,0,1,,,118.3589,248.0351,121.0093,226.6482,119.6841,237.3416,62.829,62.9556,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863491.819,1,1,0,0,,,0,1,,,102.9803,244.6994,143.0854,252.6184,123.0329,248.6589,62.8235,62.9062,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863500.153,1,1,0,0,,,0,1,,,113.6766,248.9287,146.5975,248.8757,130.1371,248.9022,62.8247,62.8706,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863508.549,0,1,0,1,,2.2186,0,1,,,,,136.1591,234.977,136.1591,234.977,,62.8438,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863516.827,1,1,0,0,,,0,1,,,117.9749,253.7393,134.0419,232.9338,126.0084,243.3366,62.8228,62.814,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863525.156,0,1,0,0,,,0,1,,,,,134.2094,233.0755,134.2094,233.0755,,62.7967,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863533.503,1,1,1,1,2.0912,2.2146,0,1,,,120.7979,252.0747,132.217,242.0452,126.5074,247.06,62.8277,62.7856,cca_main.bpmn,file-explorer-file_cca_main.bpmn
,,,,,,eye-tracker,2863541.844,1,1,0,0,,,0,1,,,120.4642,252.6968,144.1147,267.8572,132.2894,260.277,62.7565,62.7694,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863550.166,1,1,0,0,,,0,1,,,123.7284,257.0294,130.4252,253.7576,127.0768,255.3935,62.7052,62.7668,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863558.562,1,1,1,1,2.0916,2.2301,0,1,,,126.9518,255.0029,139.3875,264.1567,133.1697,259.5798,62.6316,62.7708,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863566.848,1,1,0,0,,,0,1,,,129.0137,256.4657,155.0334,273.2741,142.0236,264.8699,62.5362,62.7688,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863575.176,1,1,0,0,,,0,1,,,126.9622,261.6502,158.9568,267.5621,142.9595,264.6061,62.4611,62.777,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863583.511,1,1,1,1,2.0652,2.2717,0,1,,,134.1953,267.9492,146.3938,252.5061,140.2946,260.2277,62.3917,62.7908,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863591.807,1,1,0,0,,,0,1,,,138.5656,267.7629,162.1614,269.4839,150.3635,268.6234,62.3105,62.7937,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863600.138,1,1,0,0,,,0,1,,,137.2656,268.0361,156.1811,272.4455,146.7233,270.2408,62.2322,62.8052,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863608.512,1,1,1,1,2.1023,2.2449,0,1,,,152.9331,283.5765,170.2965,279.521,161.6148,281.5487,62.1626,62.8208,cca_main.bpmn,file-explorer-file_cca_1_validatecustomerdata.bpmn
,,,,,,eye-tracker,2863616.838,0,0,0,0,,,0,1,,,,,,,,,,,,
,,,,,,eye-tracker,2863625.137,1,1,0,0,,,0,1,,,211.0333,307.2973,166.5445,271.0439,188.7889,289.1706,62.0358,62.8353,cca_main.bpmn,file-explorer-file_cca_2_createcustomer.bpmn
,,,,,,eye-tracker,2863633.503,1,1,1,1,2.1105,2.2882,0,1,,,304.734,363.7314,517.5756,480.5522,411.1548,422.1418,62.2933,62.8814,cca_main.bpmn,main
,,,,,,eye-tracker,2863641.911,1,1,0,0,,,0,1,,,532.5862,481.1904,558.2165,489.3668,545.4014,485.2786,62.3562,62.8762,cca_main.bpmn,Participant_1tccln7
,,,,,,eye-tracker,2863650.134,1,1,0,0,,,0,1,,,616.0609,538.2034,628.5001,519.2957,622.2805,528.7495,62.3628,62.8783,cca_main.bpmn,Participant_1tccln7
,,,,,,eye-tracker,2863658.474,1,1,1,1,2.1062,2.344,0,1,,,647.529,558.0556,661.3252,573.2432,654.4271,565.6494,61.918,62.8771,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863666.798,1,1,0,0,,,0,1,,,656.6884,556.6313,665.099,570.2007,660.8937,563.416,62.105,62.8459,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863675.245,1,1,0,0,,,0,1,,,657.8015,553.164,669.3587,572.8817,663.5801,563.0229,62.1476,62.8175,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863683.466,1,1,1,1,2.0815,2.2537,0,1,,,666.3401,548.9824,675.7827,555.6993,671.0614,552.3409,61.9882,62.6617,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863691.839,0,1,0,0,,,0,1,,,,,672.4828,548.4039,672.4828,548.4039,,62.604,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863700.128,1,1,0,0,,,0,1,,,658.4885,554.5364,672.4828,548.4039,665.4856,551.4701,61.9403,62.6328,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863708.474,1,1,1,1,2.3195,2.3226,0,1,,,670.6022,580.8542,670.3571,551.0463,670.4797,565.9502,61.9651,62.7286,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863716.791,1,1,0,0,,,0,1,,,671.3097,595.5864,665.2595,535.1453,668.2846,565.3658,61.9695,62.8399,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863725.126,1,1,0,0,,,0,1,,,681.8845,604.4755,661.7239,548.5822,671.8042,576.5289,61.9738,62.9654,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863733.46,1,1,1,1,2.3878,2.3107,0,1,,,684.0555,600.5672,662.4407,549.0102,673.2481,574.7887,62.0171,63.0895,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863741.902,1,1,0,0,,,0,1,,,687.9171,598.4464,670.5162,554.9311,679.2166,576.6887,62.0593,63.1965,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863750.166,1,1,0,0,,,0,1,,,667.4761,557.0036,670.5162,554.9311,668.9962,555.9673,62.1544,63.3025,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863758.486,1,1,1,1,2.2617,2.3114,0,1,,,704.6362,587.8948,680.0304,529.5176,692.3333,558.7062,62.279,63.4016,cca_main.bpmn,Activity_1e5lryq
,,,,,,eye-tracker,2863766.787,1,1,0,0,,,0,1,,,699.8079,587.3203,677.5136,520.5624,688.6608,553.9414,62.4325,63.4972,cca_main.bpmn,Activity_1e5lryq
